,lags,params,custom_metric,n_estimators,max_depth,learning_rate,max_bin,reg_alpha,reg_lambda
16,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.401594887975648, 'max_bin': 250, 'reg_alpha': 0.8, 'reg_lambda': 0.9}",71.85651303301316,1200.0,3.0,0.401594887975648,250.0,0.8,0.9
112,[1 2 3 4 5 6 7],"{'n_estimators': 1100, 'max_depth': 3, 'learning_rate': 0.47147000882582196, 'max_bin': 225, 'reg_alpha': 0.7000000000000001, 'reg_lambda': 0.7000000000000001}",72.09135181155798,1100.0,3.0,0.47147000882582196,225.0,0.7000000000000001,0.7000000000000001
109,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.48319974155698014, 'max_bin': 250, 'reg_alpha': 0.6000000000000001, 'reg_lambda': 0.8}",72.5827831152026,1200.0,3.0,0.48319974155698014,250.0,0.6000000000000001,0.8
82,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.4403145823754234, 'max_bin': 225, 'reg_alpha': 0.8, 'reg_lambda': 0.8}",72.60773966356514,1200.0,3.0,0.4403145823754234,225.0,0.8,0.8
156,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.4452431542035912, 'max_bin': 225, 'reg_alpha': 0.6000000000000001, 'reg_lambda': 0.8}",72.69062225235248,1200.0,3.0,0.4452431542035912,225.0,0.6000000000000001,0.8
23,[1 2 3 4 5 6 7],"{'n_estimators': 1100, 'max_depth': 4, 'learning_rate': 0.43138859333706847, 'max_bin': 225, 'reg_alpha': 0.7000000000000001, 'reg_lambda': 0.7000000000000001}",72.75294205797611,1100.0,4.0,0.43138859333706847,225.0,0.7000000000000001,0.7000000000000001
35,[1 2 3 4 5 6 7],"{'n_estimators': 1000, 'max_depth': 3, 'learning_rate': 0.44702296862414154, 'max_bin': 225, 'reg_alpha': 0.2, 'reg_lambda': 0.7000000000000001}",72.78030602524785,1000.0,3.0,0.44702296862414154,225.0,0.2,0.7000000000000001
95,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 4, 'learning_rate': 0.43536269867787764, 'max_bin': 225, 'reg_alpha': 1.0, 'reg_lambda': 0.6000000000000001}",72.78406844673667,1200.0,4.0,0.43536269867787764,225.0,1.0,0.6000000000000001
60,[1 2 3 4 5 6 7],"{'n_estimators': 1000, 'max_depth': 7, 'learning_rate': 0.4326299541203898, 'max_bin': 225, 'reg_alpha': 0.2, 'reg_lambda': 0.2}",72.84008624023448,1000.0,7.0,0.4326299541203898,225.0,0.2,0.2
3,[1 2 3 4 5 6 7],"{'n_estimators': 800, 'max_depth': 7, 'learning_rate': 0.3208564696901473, 'max_bin': 225, 'reg_alpha': 0.7000000000000001, 'reg_lambda': 0.6000000000000001}",72.88872830679279,800.0,7.0,0.3208564696901473,225.0,0.7000000000000001,0.6000000000000001
177,[1 2 3 4 5 6 7],"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.434147045480639, 'max_bin': 225, 'reg_alpha': 0.6000000000000001, 'reg_lambda': 1.0}",72.99011498201746,400.0,3.0,0.434147045480639,225.0,0.6000000000000001,1.0
58,[1 2 3 4 5 6 7],"{'n_estimators': 1100, 'max_depth': 5, 'learning_rate': 0.47457762431458267, 'max_bin': 200, 'reg_alpha': 0.4, 'reg_lambda': 0.7000000000000001}",73.06652932132606,1100.0,5.0,0.47457762431458267,200.0,0.4,0.7000000000000001
105,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.4768052421949051, 'max_bin': 225, 'reg_alpha': 0.7000000000000001, 'reg_lambda': 0.7000000000000001}",73.0719801796723,1200.0,3.0,0.4768052421949051,225.0,0.7000000000000001,0.7000000000000001
142,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.47016241535761805, 'max_bin': 225, 'reg_alpha': 0.8, 'reg_lambda': 0.8}",73.12500944688554,1200.0,3.0,0.47016241535761805,225.0,0.8,0.8
71,[1 2 3 4 5 6 7],"{'n_estimators': 1100, 'max_depth': 3, 'learning_rate': 0.3730785147994682, 'max_bin': 225, 'reg_alpha': 0.9, 'reg_lambda': 0.6000000000000001}",73.46836100687163,1100.0,3.0,0.3730785147994682,225.0,0.9,0.6000000000000001
140,[1 2 3 4 5 6 7],"{'n_estimators': 700, 'max_depth': 3, 'learning_rate': 0.44978108551389895, 'max_bin': 225, 'reg_alpha': 0.6000000000000001, 'reg_lambda': 0.5}",73.564927608357,700.0,3.0,0.44978108551389895,225.0,0.6000000000000001,0.5
181,[1 2 3 4 5 6 7],"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.44031045750815223, 'max_bin': 225, 'reg_alpha': 1.0, 'reg_lambda': 0.9}",73.74087599707346,500.0,3.0,0.44031045750815223,225.0,1.0,0.9
162,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.47461082249928926, 'max_bin': 225, 'reg_alpha': 0.7000000000000001, 'reg_lambda': 0.8}",73.77553482745475,1200.0,3.0,0.47461082249928926,225.0,0.7000000000000001,0.8
183,[1 2 3 4 5 6 7],"{'n_estimators': 700, 'max_depth': 3, 'learning_rate': 0.419434635062499, 'max_bin': 225, 'reg_alpha': 0.7000000000000001, 'reg_lambda': 1.0}",73.81761219741131,700.0,3.0,0.419434635062499,225.0,0.7000000000000001,1.0
