,lags,params,custom_metric,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,gamma,reg_alpha,reg_lambda
11,[1 2 3 4 5 6 7],"{'n_estimators': 400, 'max_depth': 3, 'learning_rate': 0.2997780293680715, 'subsample': 0.9669050850160845, 'colsample_bytree': 0.9569420590041804, 'gamma': 0.34663991671710365, 'reg_alpha': 0.5909689957279931, 'reg_lambda': 0.9883221396966283}",90.06246223767809,400.0,3.0,0.2997780293680715,0.9669050850160845,0.9569420590041804,0.34663991671710365,0.5909689957279931,0.9883221396966283
88,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 5, 'learning_rate': 0.226472706596627, 'subsample': 0.6882723547441854, 'colsample_bytree': 0.5943477327619928, 'gamma': 0.25442274449509833, 'reg_alpha': 0.8286213069933439, 'reg_lambda': 0.5753891764928083}",90.11444890478315,1200.0,5.0,0.226472706596627,0.6882723547441854,0.5943477327619928,0.25442274449509833,0.8286213069933439,0.5753891764928083
30,[1 2 3 4 5 6 7],"{'n_estimators': 700, 'max_depth': 4, 'learning_rate': 0.26872494489756016, 'subsample': 0.40295336114396885, 'colsample_bytree': 0.7391419775431689, 'gamma': 0.5127298900399171, 'reg_alpha': 0.652582232172729, 'reg_lambda': 0.5363051892801685}",90.23354555838307,700.0,4.0,0.26872494489756016,0.40295336114396885,0.7391419775431689,0.5127298900399171,0.652582232172729,0.5363051892801685
6,[1 2 3 4 5 6 7],"{'n_estimators': 800, 'max_depth': 7, 'learning_rate': 0.06910804633525863, 'subsample': 0.8437067204561499, 'colsample_bytree': 0.6427541155698346, 'gamma': 0.5450680064664649, 'reg_alpha': 0.3427638337743084, 'reg_lambda': 0.3041207890271841}",90.43046647984792,800.0,7.0,0.06910804633525863,0.8437067204561499,0.6427541155698346,0.5450680064664649,0.3427638337743084,0.3041207890271841
28,[1 2 3 4 5 6 7],"{'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.2994408608587623, 'subsample': 0.5959162395347404, 'colsample_bytree': 0.9311804042047224, 'gamma': 0.8969822918956939, 'reg_alpha': 0.7962709391997984, 'reg_lambda': 0.6472024651729896}",90.65643725952518,500.0,6.0,0.2994408608587623,0.5959162395347404,0.9311804042047224,0.8969822918956939,0.7962709391997984,0.6472024651729896
86,[1 2 3 4 5 6 7],"{'n_estimators': 1100, 'max_depth': 8, 'learning_rate': 0.21831802628526426, 'subsample': 0.6994189751431914, 'colsample_bytree': 0.6524853643277595, 'gamma': 0.2481369966070926, 'reg_alpha': 0.6745217324581263, 'reg_lambda': 0.38722255132367084}",91.21424339287645,1100.0,8.0,0.21831802628526426,0.6994189751431914,0.6524853643277595,0.2481369966070926,0.6745217324581263,0.38722255132367084
22,[1 2 3 4 5 6 7],"{'n_estimators': 500, 'max_depth': 7, 'learning_rate': 0.4063817262092375, 'subsample': 0.6055754947015345, 'colsample_bytree': 0.6913207743091203, 'gamma': 0.346499046446203, 'reg_alpha': 0.8432280724604676, 'reg_lambda': 0.6094294745300844}",91.27133254608809,500.0,7.0,0.4063817262092375,0.6055754947015345,0.6913207743091203,0.346499046446203,0.8432280724604676,0.6094294745300844
17,[1 2 3 4 5 6 7],"{'n_estimators': 600, 'max_depth': 3, 'learning_rate': 0.22960001735031468, 'subsample': 0.7141377325839753, 'colsample_bytree': 0.8217317468514963, 'gamma': 0.25795494236754385, 'reg_alpha': 0.7110766687461058, 'reg_lambda': 0.611643626678589}",91.52272592079821,600.0,3.0,0.22960001735031468,0.7141377325839753,0.8217317468514963,0.25795494236754385,0.7110766687461058,0.611643626678589
75,[1 2 3 4 5 6 7],"{'n_estimators': 1100, 'max_depth': 3, 'learning_rate': 0.2388024173284774, 'subsample': 0.676606955212823, 'colsample_bytree': 0.9063345750608071, 'gamma': 0.07923718446196984, 'reg_alpha': 0.789649944918263, 'reg_lambda': 0.6240545827658918}",91.5522284278732,1100.0,3.0,0.2388024173284774,0.676606955212823,0.9063345750608071,0.07923718446196984,0.789649944918263,0.6240545827658918
195,[1 2 3 4 5 6 7],"{'n_estimators': 1200, 'max_depth': 3, 'learning_rate': 0.22193643975054034, 'subsample': 0.6660894438929356, 'colsample_bytree': 0.8847557926659048, 'gamma': 0.22988349435361707, 'reg_alpha': 0.6699468294964205, 'reg_lambda': 0.4962675434089767}",93.02507979513761,1200.0,3.0,0.22193643975054034,0.6660894438929356,0.8847557926659048,0.22988349435361707,0.6699468294964205,0.4962675434089767
