id,Cauce,Municipio,Provincia,Coordenadas UTM,X,Y,Z,Tipo de aforo,Instrumentación,Cuenca vertiente,titulo
2529,Esla,Acebedo,León,Huso 30,43.02843465998713,-5.076614940306568,1120,---,Flotador,"119,90 km2",Esla en Liegos
2530,Esla,Bretó,Zamora,Huso 30,41.87224825521002,-5.765626166474122,685,---,Sonda,"14.420,10 km2",Esla en Bretó
2531,Huebra,Hinojosa de Duero,Salamanca,Huso 30,41.032904394412355,-6.803561499341796,150,---,Sonda,"2.889,40 km2",Huebra en Saucelle-Huebra
2532,Luna,Sena de Luna,León,Huso 30,42.92157966665476,-5.962802308470289,1120,---,Sonda,"317,10 km2",Luna en Sena de Luna
2533,Monderio,Cervera de Pisuerga,Palencia,Huso 30,42.90597218243277,-4.531544925309292,1033,---,Flotador,"19,00 km2",Monderio en Monderio
2535,Orza,Burón,León,Huso 30,43.04216808793323,-5.008452432978137,1110,---,Flotador,"79,10 km2",Orza en Vegacerneja
2536,Pisuerga,"Pernía, La",Palencia,Huso 30,42.96054682997366,-4.488196259426914,1095,---,Sonda,"144,30 km2",Pisuerga en San Salvador de Cantamuda
2537,Resoba,Cervera de Pisuerga,Palencia,Huso 30,42.902635545587145,-4.528534795111276,1057,---,Sonda,"12,80 km2",Resoba en Resoba
2538,Riaza,Languilla,Segovia,Huso 30,41.44812892874523,-3.4256822959786772,950,---,Flotador,"363,90 km2",Riaza en Languilla
2539,Rivera,Cervera de Pisuerga,Palencia,Huso 30,42.890787470826105,-4.582029512861389,1050,---,Flotador,"34,10 km2",Rivera en Ventanilla
2541,Tera,Camarzana de Tera,Zamora,Huso 30,41.98711197393738,-6.041460954407371,750,---,Sonda,"1.417,60 km2",Tera en Camarzana de Tera
2542,Torío,Cármenes,León,Huso 30,42.942099510708196,-5.552765093162702,1100,---,Flotador,"117,30 km2",Torío en Getino
2545,Tormes,Encinas de Abajo,Salamanca,Huso 30,40.932923288291256,-5.4814673413916335,788,---,Sonda,"3.806,60 km2",Tormes en Encinas de Abajo
2546,Tormes,Ledesma,Salamanca,Huso 30,41.0938425760899,-5.996734927829176,735,---,Sonda,"5.262,70 km2",Tormes en Ledesma
2547,Tuerto,Quintana del Castillo,León,Huso 30,42.67304274478155,-6.0989780592890686,1010,---,Sonda,"38,60 km2",Tuerto en Quintana del Castillo
2548,Valderaduey,Benegiles,Zamora,Huso 30,41.62324321040785,-5.631925170516492,645,---,Flotador,"3.187,30 km2",Valderaduey en Benegiles
2549,Vena,Burgos,Burgos,Huso 30,42.344375056492424,-3.696748276797442,870,---,Radar,"150,90 km2",Vena en Burgos-Vena
2550,Yuso,Boca de Huérgano,León,Huso 30,42.971000075967844,-4.923252743034972,1010,---,Flotador,"196,70 km2",Yuso en Boca de Huérgano
2551,Zapardiel,Medina del Campo,Valladolid,Huso 30,41.31129399405414,-4.913719406997589,720,---,Sonda,"1.199,40 km2",Zapardiel en Medina del Campo
2552,Riaza,Maderuelo,Segovia,Huso 30,41.529997498235936,-3.5546098936869783,912,---,Flotador,"759,00 km2",Riaza en Salida del embalse de Linares
2710,Esla,Cabreros del Río,León,Huso 30,42.3962880928507,-5.555953631973011,757,---,Sonda,"3.915,50 km2",Esla en Villalobar
2711,Esla,Villamañán,León,Huso 30,42.36674104922829,-5.564858176959912,757,---,Sonda,"3.964,70 km2",Esla en Benamariel 2
2712,Almar,Alconada,Salamanca,Huso 30,40.913256019758755,-5.36385054079967,830,---,Sonda y limnígrafo,"438,90 km2",Almar en Alconada
2713,Duerna,"Bañeza, La",León,Huso 30,42.30921715179961,-5.9266836628339075,786,---,Flotador,"290,00 km2",Duerna en Santiago de la Valduerna
2716,Regato,Camarzana de Tera,Zamora,Huso 30,41.99831961071037,-6.018091286575031,730,---,Sonda y limnígrafo,"259,40 km2",Regato en Camarzana-Regato
2717,Castrón,Villaveza de Valverde,Zamora,Huso 30,41.948114438232096,-5.849428319426184,710,---,Sonda y limnígrafo,"186,10 km2",Castrón en Villaveza de Valverde
2718,Jamuz,Quintana del Marco,León,Huso 30,42.195270254395446,-5.850049915573894,744,---,Sonda,"267,70 km2",Jamuz en Genestacio
2719,Almucera,Brime de Urz,Zamora,Huso 30,42.039453131561324,-5.8726926200222636,720,---,Sonda capacitiva,"230,80 km2",Almucera en Brime de Urz
2818,Támega,Oimbra,Ourense,Huso 30,41.848640637505696,-7.435287829389853,369,---,Flotador y limnígrafo,"775,80 km2",Támega en Rabal
