id,Provincia,Nombre,X,Y,Z
1341B,ASTURIAS,"TARAMUNDI, OURIA",44.33333333333333,-7.716666666666667,340
1342X,LUGO,RIBADEO,43.96666666666666,-8.049999999999999,43
1344X,LUGO,MONDOÑEDO,44.3,-8.049999999999999,125
1347T,LUGO,BURELA,43.71666666666667,-7.783333333333333,80
1351,A CORUÑA,ESTACA DE BARES,43.949999999999996,-7.783333333333333,90
1354C,A CORUÑA,FERROL,44.050000000000004,-8.8,4
1363X,A CORUÑA,AS PONTES,44.199999999999996,-8.533333333333333,343
1387,A CORUÑA,A CORUÑA,44.300000000000004,-8.7,57
1387D,A CORUÑA,A CORUÑA BENS,44.15,-8.950000000000001,132
1387E,A CORUÑA,A CORUÑA AEROPUERTO,43.71666666666666,-8.683333333333334,98
1390X,A CORUÑA,"CARBALLO, DEPURADORA",43.41666666666667,-9.35,98
1393,A CORUÑA,CABO VILÁN,43.78333333333333,-9.85,50
1399,A CORUÑA,VIMIANZO,43.5,-9.85,287
1400,A CORUÑA,FISTERRA,43.4,-9.766666666666666,230
1406X,A CORUÑA,MAZARICOS,43.05,-9.6,340
1410X,A CORUÑA,SOBRADO,43.3,-8.350000000000001,500
1428,A CORUÑA,SANTIAGO DE COMPOSTELA AEROPUERTO,43.166666666666664,-9.033333333333333,370
1435C,A CORUÑA,NOIA,42.81666666666666,-9.433333333333334,128
1437O,A CORUÑA,MONTE IROITE,42.95,-9.316666666666666,685
1442U,A CORUÑA,BOIRO,43.266666666666666,-9.416666666666666,10
1446X,LUGO,MONTERROSO,43.38333333333333,-7.866666666666666,680
1455I,PONTEVEDRA,RODEIRO-VILAMAIOR,43.36666666666667,-8.183333333333334,645
1465U,PONTEVEDRA,LALIN-CRISTIMIL,43.58333333333333,-8.733333333333334,463
1466A,PONTEVEDRA,SILLEDA,42.75,-8.716666666666667,435
1468X,PONTEVEDRA,A ESTRADA,43.3,-8.616666666666667,269
1473A,A CORUÑA,PADRÓN,43.03333333333333,-9.25,100
1475X,A CORUÑA,SANTIAGO DE COMPOSTELA,43.43333333333334,-8.9,240
1476R,A CORUÑA,"ROIS, CASAS DO PORTO",43.71666666666667,-9.583333333333332,210
1477U,PONTEVEDRA,VILAGARCIA DE AROUSA,43.5,-8.950000000000001,36
1477V,PONTEVEDRA,VILAGARCÍA DE AROUSA,42.66666666666667,-9.25,32
1484,PONTEVEDRA,"PONTEVEDRA, INSTITUTO",43.25,-9.466666666666667,19
1484C,PONTEVEDRA,PONTEVEDRA,42.73333333333333,-9.549999999999999,113
1486E,PONTEVEDRA,ESCUELA NAVAL DE MARÍN,43.15,-9.116666666666665,3
1489A,PONTEVEDRA,A LAMA,42.81666666666666,-8.516666666666666,395
1495,PONTEVEDRA,VIGO AEROPUERTO,42.550000000000004,-9.05,255
1496X,PONTEVEDRA,VIGO ,43.050000000000004,-9.166666666666666,120
1505,LUGO,LUGO AEROPUERTO,43.78333333333333,-7.9,442
1518A,LUGO,LUGO,43.88333333333333,-7.7,442
1521I,LUGO,O PÁRAMO,43.550000000000004,-8.45,403
1521X,LUGO,BECERREÁ,43.68333333333334,-7.3,1080
1541B,LEON,VILLABLINO,43.65,-6.366666666666666,958
1542,ASTURIAS,PUERTO DE LEITARIEGOS,43.63333333333333,-7.25,1530
1549,LEON,PONFERRADA,43.38333333333333,-6.6,532
1561I,LEON,VEGA DE ESPINAREDA  ,43.71666666666667,-7.083333333333334,770
1583X,OURENSE,O BARCO DE VALDEORRAS,43.33333333333333,-7.566666666666666,315
1631E,OURENSE,A POBRA DE TRIVES,42.7,-8.216666666666667,840
1639X,OURENSE,CHANDREXA DE QUEIXA,42.86666666666667,-7.4,990
1658,LUGO,FOLGOSO DO COUREL,42.900000000000006,-7.683333333333334,612
1679A,LUGO,MONFORTE DE LEMOS,43.416666666666664,-8.15,291
1690A,OURENSE,OURENSE,42.833333333333336,-8.433333333333334,146
1690B,OURENSE,"OURENSE,INSTITUTO",43.25,-8.716666666666667,148
1696O,OURENSE,BEARIZ,42.550000000000004,-8.950000000000001,610
1700X,OURENSE,O CARBALLIÑO,42.699999999999996,-8.633333333333335,400
1701X,OURENSE,RIBADAVIA,42.3,-8.866666666666667,112
1706A,OURENSE,ALLARIZ,43.13333333333333,-8.55,492
1719,PONTEVEDRA,A CAÑIZA,42.300000000000004,-9.133333333333335,560
1723X,PONTEVEDRA,"PONTEAREAS, CANEDO   ",43.099999999999994,-9.049999999999999,90
